KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
539759,T¯ebotov,1 048,744,740,"16,62 %","0,27 %","0,00 %","2,29 %","0,40 %","7,97 %","6,21 %","1,89 %","0,54 %","1,62 %","0,13 %","0,27 %","16,89 %","0,00 %","0,00 %","11,08 %","23,24 %","0,54 %","0,27 %","2,70 %","0,00 %","0,81 %","0,00 %","0,27 %","5,13 %","0,81 %"
539767,TuchomÏ¯ice,1 017,721,715,"16,78 %","0,13 %","0,13 %","5,73 %","0,13 %","5,87 %","5,17 %","0,97 %","1,11 %","0,97 %","0,27 %","0,13 %","14,54 %","0,00 %","0,13 %","12,44 %","23,21 %","0,13 %","0,27 %","2,65 %","0,00 %","0,27 %","0,00 %","0,27 %","8,39 %","0,13 %"
539775,Tursko,617,392,390,"16,15 %","0,00 %","0,00 %","3,58 %","0,00 %","4,87 %","8,97 %","0,76 %","2,56 %","2,56 %","0,00 %","0,00 %","14,61 %","0,00 %","0,25 %","11,28 %","22,82 %","0,00 %","0,00 %","2,56 %","0,00 %","0,76 %","0,00 %","0,00 %","7,69 %","0,51 %"
571351,⁄holiËky,582,402,400,"11,25 %","0,00 %","0,00 %","4,50 %","0,00 %","9,50 %","6,75 %","1,75 %","1,25 %","1,25 %","0,00 %","0,00 %","14,50 %","0,25 %","0,50 %","12,00 %","28,75 %","0,00 %","0,00 %","2,75 %","0,00 %","0,00 %","0,00 %","0,00 %","4,75 %","0,25 %"
532991,⁄honice,872,604,595,"14,62 %","0,33 %","0,00 %","4,87 %","0,00 %","6,21 %","11,09 %","0,33 %","0,67 %","2,52 %","0,00 %","0,00 %","13,27 %","0,00 %","0,00 %","5,71 %","27,05 %","0,16 %","0,00 %","3,52 %","0,00 %","0,50 %","0,33 %","0,00 %","8,23 %","0,50 %"
539805,⁄nÏtice,501,393,391,"15,60 %","0,00 %","0,00 %","3,58 %","0,00 %","17,64 %","6,39 %","1,02 %","0,00 %","1,53 %","0,00 %","0,00 %","13,81 %","0,00 %","0,00 %","12,78 %","15,34 %","0,00 %","0,00 %","5,11 %","0,25 %","0,51 %","0,25 %","0,00 %","6,13 %","0,00 %"
539813,VelkÈ P¯Ìlepy,2 195,1 602,1 588,"19,01 %","0,12 %","0,06 %","4,78 %","0,00 %","8,56 %","3,90 %","1,51 %","0,62 %","1,76 %","0,06 %","0,25 %","16,18 %","0,12 %","0,37 %","12,21 %","17,94 %","0,06 %","0,06 %","3,71 %","0,00 %","0,56 %","0,00 %","0,12 %","7,93 %","0,00 %"
513458,Vestec,1 421,1 036,1 032,"18,21 %","0,09 %","0,19 %","3,39 %","0,09 %","7,26 %","2,42 %","2,32 %","0,38 %","3,29 %","0,19 %","0,00 %","17,73 %","0,00 %","0,00 %","10,94 %","22,57 %","0,00 %","0,09 %","2,81 %","0,00 %","0,77 %","0,00 %","0,09 %","6,97 %","0,09 %"
539830,Vonoklasy,426,305,304,"26,64 %","0,00 %","0,00 %","7,56 %","0,00 %","6,25 %","4,93 %","1,97 %","0,65 %","0,32 %","0,00 %","0,32 %","16,44 %","0,00 %","0,00 %","9,21 %","18,09 %","0,00 %","0,32 %","2,30 %","0,00 %","0,65 %","0,00 %","0,32 %","3,94 %","0,00 %"
539848,VranÈ nad Vltavou,1 964,1 313,1 307,"17,13 %","0,07 %","0,00 %","3,13 %","0,00 %","7,72 %","5,20 %","2,21 %","0,53 %","1,53 %","0,00 %","0,15 %","16,90 %","0,15 %","0,22 %","10,63 %","23,33 %","0,22 %","0,00 %","2,67 %","0,00 %","0,38 %","0,45 %","0,00 %","6,73 %","0,53 %"
